ddat-profession-capability-framework-skill-level	ddat-profession-capability-framework-skill	ddat-profession-capability-framework-level	description	start-date	end-date
10207	1086	102	Advises on the right way to apply standards and methods, ensuring compliance, and maintains technical responsibility for all the stages and iterations of a software development project. Provides technical advice to stakeholders and sets the team-based standards for programming tools and techniques.		
10208	1108	101	Defines the integration build. Able to co-ordinate build activities across systems and understands how to undertake and support integration testing activities.		
10209	1007	103	Manages the service components to ensure they meet business needs and performance targets.		
10210	1086	101	Collaborates with others when necessary to review specifications and uses these agreed specifications to design, code, test and document programs or scripts of medium to high complexity, using the right standards and tools.		
10211	1059	102	Has a depth of knowledge in information security, able to design, quality review and quality assure solutions and services with security controls embedded, specifically engineered as mitigation against security threats as a core part of the solutions and services.		
10212	1044	101	Able to analyse current processes, identify and implement opportunities to optimise processes, and leads and develops a team of experts to deliver service improvements. Helps evaluate and establish requirements for the implementation of changes by setting policy and standards.		
10213	1106	101	Designs systems characterised by medium levels of risk, impact and business or technical complexity. Selects appropriate design standards, methods and tools and ensures they are applied effectively. Reviews the systems designs of others to ensure selection of appropriate technology, efficient use of resources, and integration of multiple systems and technology.		
10214	1060	101	Has an appreciation of information security, designing solutions and services with security controls embedded, specifically engineered as mitigation against security threats as a core part of the solutions and services.		
10215	1087	101	Sees prototyping as a team activity, actively soliciting prototypes and testing with others. Establishes design patterns and iterates them. Knows a variety of methods of prototyping and chooses the most appropriate ones.		
10216	1045	103	Able to identify process optimisation opportunities with guidance and contribute to the implementation of proposed solutions.		
10217	1095	102	Demonstrates a breadth of understanding of service support.		
10218	1059	101	Has an appreciation of information security, designing solutions and services with security controls embedded, specifically engineered as mitigation against security threats as a core part of the solutions and services.		
10219	1044	103	Able to identify process optimisation opportunities with guidance and contribute to the implementation of proposed solutions.		
10220	1071	101	Uses a modern standards approach competently and guides others in so doing.		
10221	1129	101	Has Expert certificate in Service Management Framework qualification.		
10222	1045	104	Aware of the importance consider developing process efficiency and the common ways in which processes are optimised. Supports specific activities to improve development processes. Able to spot or identify obvious deficiencies.		
10223	1095	103	Able to help fix faults following agreed procedures. Carries out agreed infrastructure maintenance tasks.		
10224	1105	103	Translates logical designs into physical designs. Produces  detailed designs and documents all work using required  standards, methods and tools, including prototyping tools where appropriate. Designs systems characterised by managed levels of risk, manageable business and technical complexity and meaningful impact. Works with well-understood technology and identifies appropriate patterns.		
10225	1108	103	Able to build and test simple interfaces between systems, or can work on more complex integration as part of a wider team.		
10226	1071	103	Understands key principles of modern standards approach, how they apply to the work they are undertaking, and will apply under guidance.		
10227	1086	103	Designs, codes, tests, corrects and documents simple programs or scripts under the direction of others.		
10228	1105	104	Assists as part of a team on design of components of larger systems.		
10229	1108	104	Aware of how to integrate systems and the challenges of designing, building and testing interfaces between systems.		
10230	1007	104	Aware of availability and capacity management processes.		
10231	1059	103	Understands information security and the types of security controls that can be used to mitigate security threats within solutions and services.		
10232	1087	103	Knows when to use a specific prototyping technique or method (for example, sketch, code, Loc2). Able to show the value of prototyping to the team.		
10233	1071	104	Aware of the importance of adopting a modern standards  approach.		
10234	1095	104	Assists in investigation and resolution of infrastructure problems undertaking specific activities under direction of others.		
10235	1059	104	Aware of information security and the security controls that can be used to mitigate security threats within solutions and services.		
10236	1087	104	Knows what prototyping is and why and when to use it. Has an awareness of how to work in an open and collaborative environment (for example, pairing).		
10237	1107	101	Defines the integration build. Able to co-ordinate build activities across systems and understands how to undertake and support integration testing activities.		
10238	1007	102	Drives policy and strategy for service and capacity management, and the implementation of required changes.		
10239	1108	102	Establishes standards and procedures across a service lifecycle including the development lifecycle and ensures that practitioners adhere to this. Manages resources to ensure that the systems integration function works effectively.		
10240	1113	101	Has deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape.		
10241	1118	103	Able to review requirements, specifications and define test conditions. Able to identify issues and risks associated with work whilst being able to analyse and report test activities and results.		
10242	1112	101	Able to draft and maintain procedures and documentation. Able to set standards for definition, security and integrity of objects and ensures conformance to these standards.		
10243	1136	103	Identifies and engages with users or stakeholders to collate user needs evidence. Understands and defines research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
10244	1086	104	Understands the process of software development and has a basic knowledge of how services are built.		
10245	1018	101	Deals with high impact, complex change requests. Ensures that release policies, procedures and processes are applied.		
10246	1057	101	Leads the investigation and resolution of incidents.		
10247	1075	101	Takes accountability of issues that occur and is proactive in searching for potential problems. Achieves excellent user outcomes.		
10248	1078	101	Ensures that the right actions are taken to investigate, resolve and anticipate problems. Co-ordinates the team to investigate problems, implement solutions and take preventative measures.		
10249	1093	101	Sees the bigger picture by taking groups of services, investigating how to get the best of underlying services.		
10250	1112	102	Understands the direction for future technologies. Delivers a model to support and maintain those future technologies and any databases that co-exist in the current environment.		
10251	1118	102	Holds responsibility for managing testing activities within development or integration activities. Manages risks and can take preventative action when risks become unacceptable. Manages customer relations.		
10252	1006	101	Manages configuration items, related information, service compliance and risks.		
10253	1007	101	Ensures the correct implementation of standards and procedures. Proactively reviews information in conjunction with service level agreements to identify any availability and capacity issues and specifies any required changes (SFIA 6, Level 5, CPMG). Instigates remedial activities.		
10254	1009	101	Has a deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape.		
10255	1020	103	Interacts with and reads code and is able to carry out baseline repair activities.		
10256	1028	101	Able to analyse current processes, identify and implement opportunities to optimise processes, and leads and develops a team of experts to deliver service improvements. Helps to evaluate and establish requirements for the implementation of changes by setting policy and standards.		
10257	1062	102	Leads teams and departments in the design, implementation, administration and support of infrastructure solutions and services.		
10258	1081	103	Initiates and monitors actions to investigate patterns and trends to resolve problems, including consulting specialists where required. Determines the appropriate remedy and assists with implementation of it as well as preventative measures.		
10259	1113	102	Able to anticipate and advise on future technology changes that present opportunities for the product or programme.		
10260	1118	101	Manages planning of system and/or acceptance tests, co-ordinating both functional and non-functional specifications. Able to provide authoritative advice and guidance on test planning, can identify process improvements and contribute to the definition of best practice.		
10261	1121	102	Has lateral thinking capability to dissect a problem to its component parts to identify and diagnose root causes. Able to troubleshoot and identify problems across different technology capabilities including compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source.		
10262	1019	103	Able to interact, read code, write HTML and is able to carry out baseline repair activities.		
10263	1071	102	Has a strong understanding and application of the most appropriate  modern standards and practices. Takes responsibility for coaching and guiding others.		
10264	1062	101	Designs, implements, administers and supports infrastructure technologies, solutions and services such as: compute, storage, networking, physical infrastructures, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including PaaS, SaaS.		
10265	1075	103	Owns an issue until a new owner has been found or the problem has been mitigated or resolved.		
10266	1019	104	Has an understanding of how the internet works and is aware of which tools and software are available to be utilised and are currently in practice.		
10267	1062	103	Builds, configures, administers and supports infrastructure technologies and solutions such as: compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including IaaS, PaaS, SaaS.		
10268	1081	104	Able to investigate problems in systems, processes and services, with an understanding of the level of a problem (for example, strategic, tactical, operational). Can contribute to the implementation of remedies and preventative measures.		
10269	1113	103	Understands core technical concepts related to their role and is able to apply them with guidance.		
10270	1118	104	Correctly executes test scripts under supervision. Understands the role of testing and how it works.		
10271	1121	103	Able to troubleshoot and identify problems across different technology capabilities.		
10272	1062	104	Supports infrastructure solutions and services, and other computer, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including IaaS, PaaS, SaaS.		
10273	1075	104	Aware of the problem resolution processes and passes the problem to their team.		
10274	1113	104	Aware of the subject matter and has a high level understanding of what it involves.		
10275	1121	104	Aware of different technology capabilities with basic troubleshooting capability.		
10276	1078	103	Initiates and monitors actions to investigate patterns and trends to resolve problems, including consulting specialists where required. Determines the appropriate remedy and assists with implementation of it as well as preventative measures.		
10277	1118	101	Manages planning of system and/or acceptance tests, co-ordinating both functional and non-functional specifications. Able to provide authoritative advice and guidance on test planning and can identify the process improvements and contribute to definition of best practice.		
10278	1129	103	Has a Level 3 Service Management Framework qualification and knowledge of lifecycle and / or capability elements of ITIL.		
10279	1006	103	Maintains secure configuration and accurate information, controlling IT assets in one or more significant areas, and verifying location and state of assets.		
10280	1009	103	Understands core technical concepts related to their role and is able to apply them with guidance.		
10281	1028	103	Able to identify  process  optimisation  opportunities with guidance and contribute to the implementation of proposed solutions.		
10282	1018	103	Able to analyse and assess impact, develops and documents change requests. Implements changes based on requests for change.		
10283	1057	103	Able to diagnose and prioritise incidents, investigating their causes and finding resolutions.		
10284	1112	103	Able to use management system software and tools. Has knowledge of logical schemata to investigate problems, collect performance statistics and create reports. Able to carry out routine configuration, installation and reconfiguration of database and related products. Optimises performance and forecasts resource needs.		
10285	1028	103	Able to identify process optimisation opportunities with guidance and contribute to the implementation of proposed solutions.		
10286	1018	104	Able to implement changes based on requests for change. Applies change control procedures.		
10287	1057	104	Identifies and registers incidents, gathering the required information and allocating to the appropriate channel.		
10288	1078	104	Investigates problems in systems, processes and services. Assists with the implementation of agreed remedies and preventative measures.		
10289	1112	104	Assists in technical support activities. Carries out agreed / routine maintenance and administration tasks.		
10290	1009	104	Aware of the subject matter and has an understanding of what it involves.		
10291	1028	104	Aware of the importance to consider developing process efficiency and common ways in which processes are optimised. Supports specific activities to improve development processes. Able to spot or identify obvious deficiencies.		
10292	1078	104	Able to investigate problems in systems, processes and services, with an understanding of the level of a problem (for example, strategic, tactical, operational). Can contribute to the implementation of remedies and preventative measures.		
10293	1020	104	Knows which scripting tools and software are available to be utilised and are currently in practice.		
10294	1094	101	Leverages their data analytics skills to enhance business performance.		
10295	1094	103	Produces the relevant reports in a standard format in an agreed timeframe. Works with key stakeholders to discuss any changes in the reporting processes. Able to add a commentary that provides an interpretation for the data set.		
10296	1006	103	Maintains secure configuration and accurate information, controlling IT assets in one or more significant areas and verifying location and state of assets.		
10297	1030	101	Maintains a high level of customer service. Has the confidence to deal with complex complaints and uses empathy to satisfy customer demands.		
10298	1094	104	Collates data from depositaries and provides basic reporting.		
10299	1030	102	Translates ‘lessons learnt’ from complaint cycles into continual service improvement. Takes responsibility for the full range of customer service functions including reviewing customer service satisfaction. Investigates which processes can be automated and ways to do so.		
10300	1094	102	Utilises prediction methodologies to derive and maintain a holistic view of key trends and across multiple processes.		
10301	1006	104	Tracks, logs and corrects information to protect assets and components.		
10302	1009	104	Aware of availability and capacity management processes.		
10303	1030	103	Resolves user requests to a minimum of the agreed service level agreement. Able to empathise with the end user. Uses customer-focused metrics to achieve a satisfying outcome.		
10304	1093	104	Aware of different products and services.		
10305	1014	101	Leads investigative work into problems and opportunities in existing processes, driving the collection of information and creation of recommendations for improvements. Can absorb large amounts of conflicting information and use it to produce solutions.		
10306	1089	102	Determines the strategic vision and direction. Positively influences key senior stakeholders. Provides an arbitration function.		
10307	1093	102	Not Applicable		
10308	1101	102	Leads the design and implementation of strategy, directing the evaluation of strategies and policies to ensure business requirements are being met.		
10309	1129	102	Has Expert certificate in Service Management Framework qualification and an industry understanding of how to implement the framework into numerous environments.		
10310	1006	102	Manages configuration management for the organisation, ensuring value for the business and adherence to company policies. Ensures changes to assets are recorded and controlled appropriately. Promotes organisational commitment to asset control.		
10311	1089	101	Influences stakeholders and manages relationships effectively. Builds long-term strategic relationships. Facilitates and delivers the business outcomes.		
10312	1101	101	Able to define strategies and policies, providing guidance to others on working in the strategic context. Evaluates current strategies to ensure business requirements are being met and exceeded where possible.		
10313	1014	103	Investigates problems and opportunities in existing processes and contributes to recommending solutions to these. Works with stakeholders to identify objectives and potential benefits available.		
10314	1089	103	Identifies key stakeholders and relationships and works with teams to build these. Understands how to work with stakeholders and contributes to improving these relationships.		
10315	1101	103	Able to work within a strategic context and communicate how activities meet strategic goals. Contributes to the development of strategy and policies.		
10316	1014	104	Contributes to the recommendation of improving processes and understands the importance of evidence-based design or analysis.		
10317	1028	104	Able to spot and identify deficiencies in current modes of operations.		
10318	1014	102	Directs business analysis, including the collection of information and evidence, identification of problems and opportunities, and ensuring recommendations fit with strategic business objectives. Communicates recommendations persuasively to key stakeholders and can identify the simplest approach out of a variety of approaches.		
10319	1115	103	Has some knowledge of the technologies used to build and operate digital services. Understands the different technical roles in a digital team.		
10320	1027	101	Able to work collaboratively within a group, actively networking with others and engaging in varying types of feedback choosing the appropriate time, and ensuring the discussion sticks. Uses initiative to identify problems or issues in the team dynamic and rectify them. Able to pull out issues through agile health-checks with the team to provoke the right responses.		
10321	1129	104	Has Expert certificate in Service Management Framework qualification.		
10322	1029	103	Manages the runbooks for service continuity. This includes managing the processes around service continuity and testing the runbooks to ensure that service availability can be maintained in any event.		
10323	1027	103	Contributes to the work of others whilst having the ability to motivate and empower teams. Creates the right environment for teams to work in and is able to facilitate the best team makeup depending on the situation. Recognises and deals with issues.		
10324	1029	104	Aware of the IT standard continuity management processes and procedures.		
10325	1018	102	Has broad industry experience in change management and is able to implement a successful change management process from zero to full maturity. A champion of change management, actively improving and optimising current processes.		
10326	1009	102	Not Applicable		
10327	1027	104	Understands the work of others and the importance of team dynamics, collaboration and feedback.		
10328	1054	101	Able to design and execute a wide range of testing techniques and communicate test results to both technical and non-technical stakeholders. Able to make decisions on the environment for testing and coaches others. Able to raise defects with the business and help prioritise them based on defect severity.		
10329	1117	101	Able to think outside the box, ask the right questions, and critically evaluate and communicate findings to a larger team. Leads investigative work into problems and opportunities in existing processes, driving the collection of information and creation of recommendations for improvements. Can absorb large amounts of conflicting information and use it to determine solutions.		
10330	1072	104	Aware of non-functional testing techniques. Able to execute non-functional test scenarios and raise defects. Can run non-functional tests others have written and knows the processes to do so. Understands a range of standard non-functional testing techniques.		
10331	1110	101	Has a good working knowledge of different tools and techniques and can train others. Able to advise others on testing techniques and frameworks. Able to research, plan and train others within the team.		
10332	1054	102	Able to advise on up-to-date functional testing techniques. Able to assess and peer review the work of others. Able to coach and mentor others. Able to write test approaches for major projects and provide guidance on risk approaches. Can devise new test techniques and provide recommendations.		
10333	1117	102	Able to analyse and collect of information and evidence, identify  problems and opportunities and ensure recommendations fit with strategic business objectives. Able to communicate recommendations persuasively to key stakeholders and identify the simplest approach from a variety of approaches. Able to solve complex problems applying logical reasoning.		
10334	1072	103	Able to design and execute non-functional test cases using standard testing techniques, in instructed environments. Able to come up with different business scenarios for a feature, working with others in the team.		
10335	1117	101	Able to think outside the box, ask the right questions and critically evaluate and communicate findings to a larger team. Leads investigative work into problems and opportunities in existing processes, driving the collection of information and creation of recommendations for improvements. Can absorb large amounts of conflicting information and use it to determine solutions.		
10336	1073	101	Able to design and execute a wide range of testing techniques and communicate test results to both technical and non-technical stakeholders. Able to make decisions on the environment for testing and coaches others. Able to raise defects with the business and help prioritise them based on defect severity.		
10337	1111	101	Able to think outside the box, ask the right questions, and critically evaluate and communicate findings to a larger team. Leads investigative work into problems and opportunities in existing processes, driving the collection of information and creation of recommendations for improvements. Can absorb large amounts of conflicting information and use it to determine solutions.		
10338	1054	103	Able to design and execute test cases using standard testing techniques. Able to come up with different business scenarios for a feature, working with others in the team.		
10339	1117	103	Able to identify simple patterns and trends. Investigates problems and opportunities in existing processes and contributes to recommending solutions to these. Works with stakeholders to identify objectives and potential benefits available.		
10340	1110	104	Aware of a range of tools and techniques for test automation. Likely to have some demonstrable technical attributes.		
10341	1054	104	Aware of functional testing techniques. Able to execute test scenarios and raise defects. Can run tests others have written and knows the processes to do so. Understands a range of standard testing techniques.		
10342	1117	104	Contributes to improving delivery and understands the importance of evidence-based design and analysis.		
10343	1072	102	Able to advise on up-to-date non-functional testing techniques. Able to assess and peer review the work of others. Able to coach and mentor others. Able to write non-functional test approaches for major projects and provide guidance on risk approaches. Able to devise new non-functional test techniques and provide recommendations.		
10344	1110	102	Able to act as an advisor with a strategic understanding of IT trends and technologies. Able to write and publish papers. Is knowledgeable of emerging tools and techniques. Can set up frameworks based on the needs of the team. Able to work across different tools and software languages.		
10345	1117	101	Able to think outside the box, ask the right questions, and can critically evaluate and communicate findings to a larger team. Leads investigative work into problems and opportunities in existing processes, driving the collection of information and creation of recommendations for improvements. Can absorb large amounts of conflicting information and use it to determine solutions.		
10346	1072	101	Able to design and execute a wide range of non-functional testing techniques and communicate non-functional test results to both technical and non-technical stakeholders. Able to make decisions on running types of non-functional testing. Able to coach and mentor others. Able to raise defects with the business and help prioritise them based on defect severity.		
10347	1110	103	Able to use a range of technologies for testing. Able to use one type of tool to write test scripts. May use technologies to design and execute test cases under guidance.		
10348	1036	102	Investigates emerging trends in data-related approaches, performing horizon-scanning for the organisation and introducing innovative ways of working.		
10349	1031	101	Understands and can help teams apply a range of techniques for data profiling and source system analysis from a complex single source. Able to bring multiple data sources together in a conformed model for analysis.		
10350	1033	102	Establishes enterprise-scale data integration procedures across the data development lifecycle and ensures that teams adhere to these. Manages resources to ensure that data services work effectively at an enterprise level.		
10351	1037	102	Establishes standards, keeps abreast of best practice in industry and across government. Keeps those standards up to date and ensures adherence to them.		
10352	1083	102	Sets local or team-based standards for programming tools and techniques and selects appropriate development methods. Advises on the application of standards and methods and ensures compliance. Takes technical responsibility for all stages and/or iterations in a software development project, providing method-specific technical advice and guidance to project stakeholders.		
10353	1116	102	Able to predict and advise on future technology changes that present opportunities for a product or programme.		
10354	1083	101	Uses agreed standards and tools to design, code, test, correct and document moderate to complex programs and scripts from agreed specifications and subsequent iterations. Collaborates with others to review specifications where appropriate.		
10355	1116	101	Has a deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape.		
10356	1024	104	Is aware of the need to translate technical concepts into non-technical language and understands what communication is required to internal and external stakeholders.		
10357	1033	103	Designs, builds and tests data products based on feeds from multiple systems using a range of different storage technologies and/or access methods. Creates repeatable and reusable products.		
10358	1037	103	Delivers data solutions in accordance with agreed organisational standards that ensure services are resilient, scalable and future-proof.		
10359	1083	103	Designs, codes, tests, corrects and documents simple programs or scripts under the direction of others.		
10360	1116	103	Understands core technical concepts related to their role and is able to apply them with guidance.		
10361	1080	104	Aware of the types of problems in databases, data processes, data products and services.		
10362	1005	101	Understands and can help teams apply a range of practices. Develops deeper expertise on a narrower range of specialisms. Starts to apply emerging theory to practical situations.		
10363	1043	101	Promotes and monitors continuous professional development within their organisation. Develops knowledge of cutting-edge techniques and shares knowledge. Propagates data science capability across the organisation.		
10364	1034	101	Can work with data engineers to map, produce, transform and test new data feeds for data owners and consumers, selecting the most appropriate tools and technologies. Can lead ad hoc data exploration in a wide variety of data serialisation and storage formats, from across the business, for consumers.		
10365	1039	101	Displays strong intellectual curiosity and proactively explores areas of innovation in both government and industry. Can identify the business value for innovation within their organisation.		
10366	1043	102	Advocates the importance of continuous learning to the data science team and propagates data science capability to the wider organisation and in industry. Is a role model of best practice through demonstration of their own self-directed learning. Sets the data science curriculum across government.		
10367	1047	102	Communicates the business benefit of data science products, championing and governing these across the organisation. Can communicate relevant, compelling stories in the most appropriate medium. Ensures data governance and data ethics are embedded in organisational strategy. Aligns data science priorities with wider organisational objectives (for example, budget).		
10368	1084	103	Develops, codes, tests, corrects and documents simple programs or scripts under the direction of others as part of a multi-disciplinary team.		
10369	1126	101	Understands and can help teams apply a range of techniques to analyse data and provide insight. Is proactive and can present compelling findings that inform wider decisions. Starts to apply innovative approaches to resolve problems.		
10370	1005	102	Understands, teaches and supervises a wide range of practices, or may have deep expertise on a narrower range of specialisms. Able to apply emerging theory to practical situations.		
10371	1034	102	Has significant experience building data pipelines at scale using a range of tools and technologies and can advise on data engineering best practices across industry. Can lead ad hoc data exploration practices in their business area by identifying and setting best practice and standards. Identifies opportunities for future innovation of data exploration practices.		
10372	1039	102	Is a thought leader in their organisation. Identifies future areas of innovation and can show how it can be applied to their organisation and wider government.		
10373	1047	101	Can create data science products which are proportionate to the business benefit and achieve significant impact. Presents analysis and visualisations in clear ways to communicate complex messages. Develops data science communication skills within their team. Supports the evolution of data governance and takes responsibility for applying the data science ethical framework in their business area.		
10374	1084	101	Designs, codes, tests, corrects and documents moderate to complex programs and scripts from agreed specifications and subsequent iterations, using agreed standards and tools. Collaborates with others to review specifications where appropriate.		
10375	1126	102	Understands, teaches and supervises a wide range of analysis techniques. Can help organisations create and learn from strategic insights. Able to apply innovative approaches to resolve problems.		
10376	1005	103	Has broad knowledge of how and when to practically apply existing best practice solutions.		
10377	1034	103	Can work with data engineers to map, produce, transform and test new data feeds for data owners and consumers, using tools and technologies already in use in the business area. Can conduct ad hoc data exploration in common data serialisation and storage formats used across the business for consumers.		
10378	1039	103	Displays intellectual curiosity and proactively explores areas of innovation. Can identify the business value for innovation within their team.		
10379	1043	103	Develops their data science skills and knowledge through self-directed learning and shares their learning within their team, where appropriate. Identifies professional development opportunities for data scientists.		
10380	1047	103	Understands the benefit of using data science products within the business based on business and user requirements. Can communicate data science products, including data, analysis and visualisations effectively, using media tailored to the audience. Understands what data governance is required and can apply the data science ethical framework to their work.		
10381	1126	103	Understands and can work with colleagues to apply core techniques for analysis and provide insight. Presents clear insights that colleagues can understand and use.		
10382	1005	104	Understands the theoretical basis for applied practices and is beginning to be able to apply the theory to practical examples.		
10383	1137	102	Has a deep understanding of relevant data sources, tools and systems. Uses appropriate approaches for verifying and validating data and analysis. Influences senior stakeholders over data approaches. Coaches and mentors others.		
10384	1034	104	Understands the technical principles underpinning data feeds (both streaming and batch types) for consumption by data products. Can explain how existing tools can be applied to create these feeds. Is aware of, and can use, ad hoc data exploration techniques to build datasets for consumers.		
10385	1039	104	Displays intellectual curiosity and has some awareness of innovation and emerging trends in industry.		
10386	1043	104	Develops their data science skills and knowledge through line management, directed and self-directed learning. Shares their learning with the team where appropriate. Supports the cross-government data science community.		
10387	1047	104	Understands the context of the business and the role of data science within the organisation. Can create basic visuals and presentations to communicate data science products effectively. Aware that data, analysis and how the two are communicated needs to be aligned to meet user needs. Understands how data governance works and how it relates to other organisational governance structures. Aware of the data science ethical framework and can apply this to their work.		
10388	1084	104	Understands and has a basic knowledge of how software components are developed and built.		
10389	1126	104	Is aware of the need for careful analysis of data to produce clear insights.		
10390	1011	102	Exploits opportunities through the recognition of new digital technologies to enhance analytical capability in alignment with business goals.		
10391	1022	102	Able to communicate relevant, compelling stories using the most appropriate medium. Able to give complex recommendations at a tactical and strategic level. Presents analysis and visualisations in clear ways to communicate complex messages. Is able to communicate negative and positive information to stakeholders.		
10392	1076	102	Oversees the development and consistency of performance measurement frameworks across multiple projects and ensures these frameworks are aligned to business needs and strategy.		
10393	1132	101	Understands and can help teams apply a range of techniques to analyse data and provide insight. Is proactive and can present compelling findings that inform wider decisions. Applies innovative approaches to resolve problems.		
10394	1125	102	Able to develop sustainable support models. Able to identify and deal with potential risks across or between all phases of the lifecycle. Able to coach others. Able to contribute to the assessment of other teams, providing guidance and support as they move through the life cycle phases. Leads and champions best practice, and identifies improvements to current approaches.		
10395	1128	102	Able to influence, challenge and coach. Able to anticipate how constraints might change and knows where to challenge or remove constraints. Has a very strong knowledge of security and data privacy. Describes and works within environmental constraints, finding the most appropriate solution for users.		
10396	1133	102	Gives direction on which tools or methods to use. Able to bring insight and expertise to how user needs have changed over time and ensure these are met. Applies strategic thinking in how to provide the best service for the end user. Considers the political strategy and implications of any analyses and insights.		
10397	1132	102	Understands, teaches and supervises a wide range of analysis techniques. Can help organisations create and learn from strategic insights. Able to apply innovative approaches to resolve problems.		
10398	1011	101	Has a deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape. Understands the limitations of digital technology.		
10399	1022	101	Turns complex data into compelling, clear and actionable stories. Shares data communication skills with the team and across government. Presents analysis and visualisations in clear ways to communicate complex messages. Is able to communicate negative and positive information to stakeholders. Able to give tactical and strategic recommendations.		
10400	1076	101	Leads on the development of performance measurement frameworks including key performance indicators (KPIs). Has a deep understanding of business goals and is able to turn these into tangible performance measures.		
10401	1137	101	Able to set up a system to get data ready for use and specify how data should be cleansed and prepared. Able to bring data together from different sources and communicate the limitations of data. Able to peer review colleagues’ outputs to ensure quality.		
10402	1125	101	Able to apply experience of multiple parts of the lifecycle. Able to recognise when to move forward and when to stop. Able to recognise the appropriate deliverables and engage the right people to meet these. Able to work with other Agile delivery disciplines throughout the product life cycle. Able to plan and proactively engage with stakeholders at the appropriate stage of the project. Able to identify which tools and techniques should be used at each stage.		
10403	1128	101	Works with and challenges senior stakeholders. Can prioritise and mitigate constraints and can turn them into an advantage. Is able to adapt the approach according to constraints. Has a good knowledge of security and data privacy.		
10404	1133	101	Understands the difference between user needs and desires of the user. Has experience in meeting user needs across a variety of channels. Able to integrate digital analytics with qualitative data, such as user surveys and user research, to develop hypotheses for testing. Can offer recommendations on the best tools and methods to be used.		
10405	1011	103	Understands core technical concepts related to their role and is able to apply them.		
10406	1022	103	Understands the appropriate media to communicate findings. Shapes and shares communications cognisant of the audience. Able to give tactical recommendations.		
10407	1076	103	Participates in discussions determining which performance measurements are appropriate, with guidance from more experienced colleagues. Develops experience in turning business needs and goals into performance measures.		
10408	1137	103	Recognises and identifies appropriate ways to collect, collate and prepare data, and is able to decide if data is accurate and fit for purpose. Performs own data preparation and cleansing with limited guidance.		
10409	1125	103	Understands how the needs of the team and product vary across the lifecycle. Ensures the team is measuring performance as appropriate for the relevant service standard phase. Able to manage the delivery of services or products at different phases. Plans ahead and looks at data requirements in future phases.		
10410	1128	103	Can identify and understand constraints and is able to communicate these and work within them. Is able to challenge the validity of constraints. Capable of ensuring standards are being met. Has an understanding of security and data privacy.		
10411	1133	103	Able to use quantitative and qualitative data about users to turn user focus into outcomes. Delivers analysis and information that addresses stakeholder needs and provides recommendations. Collaborates with user researchers and other user-focussed professions. Guides others on approaches to understand user stories.		
10412	1011	104	Aware of some analytical tools and technologies and is able to use them. Is aware of digital technology and has an understanding of what it involves and its impact.		
10413	1076	104	Aware of the importance of performance measurement and the business objectives.		
10414	1132	103	Understands and can work with colleagues to apply core techniques for analysis and provide insight. Presents clear insights that colleagues can understand and use.		
10415	1137	104	Understands basic data issues and checks that the data and analysis look right. Understands the concept of data being fit for purpose. Understands the context of the data. Aware of the right questions to ask, is curious and applies an analytical mindset when approaching a problem. Performs data preparation and cleansing with guidance.		
10416	1125	104	Describes the importance of performance measures, their relation to business objectives and how they vary at different stages of the lifecycle.		
10417	1128	104	Has an awareness of ethical and operational constraints.		
10418	1133	104	Has an understanding that everything we do is focused on the user of the product or service.		
10419	1135	102	Has experience of creating and iterating content across multiple channels. Is accountable for content decisions. Trains and guides the team.		
10420	1002	102	Coaches and leads teams in Agile and Lean practices, determining the right approach for the team to take and evaluating this through the life of a project. Is able to think of new and innovative ways of working to achieve the right outcomes. Is able to act as a recognised expert and advocates for the approaches, continuously reflecting and challenging the team		
10421	1135	101	Creates and iterates content for end-to-end services. Delivers through others and directs their work.		
10422	1135	103	Able to work autonomously. Creates effective content for digital channels.		
10423	1135	104	Has basic but decent editorial standards. Has awareness of style standards. Works well under supervision.		
10424	1101	104	Aware of the strategic context of their work and why it is important. Supports strategic planning in an administrative capacity.		
10425	1114	101	Has a deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape.		
10426	1026	102	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk and complexity or under constrained timescales. Able to speak and represent the community to large audiences inside and outside of government.		
10427	1050	102	Designs systems for use across multiple services and can identify the simplest approach out of a variety of approaches (Occam’s Razor).		
10428	1064	102	Changes organisational structures to fixable and sustainable designs. Leads on the strategy for the whole organisation, marrying business needs with innovative analysis. Able to make and justify decisions characterised by high levels of risk, impact and complexity. Builds consensus between organisations (private or public) or highly independent and diverse stakeholders. Solves and unblocks issues between teams or departments at the highest level. Understands the psychology of the team and has strong mediation skills. Able to coach the organisation on team dynamics and conflict resolution.		
10429	1088	101	Can create static HTML and CSS prototypes. Considers different screen sizes. Knows how to version and host a prototype.		
